lastname,firstname
baker, j
borin, n
chen, sfs
monroe, kb
lou, yc
manning, kc
sprott, de
miyazaki, ad
kumar, v
karande, k
reinartz, wj
mulhern, fj
williams, jd
leone, rp
lytle, rs
hom, pw
mokwa, mp
huffman, c
kahn, be
wakefield, kl
baker, j
szeinbach, sl
allen, j
barnes, jh
reynolds, ke
beatty, se
gedenk, k
sattler, h
kumar, p
divakar, s
sweeney, jc
soutar, gn
johnson, lw
achrol, rs
gundlach, gt
van kenhove, p
de wulf, k
van waterschoot, w
kim, bd
srinivasan, k
wilcox, rt
finn, a
kayande, u
bone, pf
ellen, ps
lohtia, r
ikeo, k
subramaniam, r
mcintyre, sh
miller, cm
koelemeijer, k
oppewal, h
stassen, re
mittelstaedt, jd
mittelstaedt, ra
lee, jkh
steckel, jh
grewal, d
levy, m
mehrotra, a
sharma, a
gedenk, k
neslin, sa
reynolds, ke
beatty, se
conant, js
white, jc
geyskens, i
steenkamp, jbem
griffin, m
babin, bj
modianos, d
sharma, a
levy, m
kumar, a
jorgensen, s
sigue, sp
zaccour, g
miyazaki, ad
sprott, de
manning, kc
kaufmann, pj
donthu, n
brooks, cm
dabholkar, pa
shepherd, cd
thorpe, di
batra, r
sinha, i
cronin, jj
brady, mk
hult, gtm
campo, k
gijsbrechts, e
nisol, p
urbany, je
dickson, pr
sawyer, ag
jones, ma
mothersbaugh, dl
beatty, se
menon, k
dube, l
szymanski, dm
hise, rt
leszczyc, ptlp
sinha, a
timmermans, hjp
wirtz, j
mattila, as
tan, rlp
russell, gj
petersen, a
ellen, ps
mohr, la
webb, dj
levy, m
grewal, d
achabal, dd
mcintyre, sh
smith, sa
kalyanam, k
myers, mb
daugherty, pj
autry, cw
gruen, tw
shah, rh
ingene, ca
parry, me
mentzer, jt
min, s
zacharia, zg
bucklin, lp
craig, cs
ghosh, a
shugan, sm
desiraju, r
mathwick, c
malhotra, n
rigdon, e
ackerman, d
tellis, g
cotterill, rw
putsis, wp
otnes, c
mcgrath, ma
dhar, sk
hoch, sj
kumar, n
severin, v
louviere, jj
finn, a
sweeney, jc
soutar, gn
arnold, sj
kozinets, rv
handelman, jm
mattila, as
wirtz, j
tang, ff
xing, xl
verhoef, pc
franses, ph
hoekstra, jc
bloom, pn
perry, vg
shim, s
eastlick, ma
lotz, sl
warrington, p
levy, m
grewal, d
han, sm
gupta, s
lehmann, dr
leszczyc, ptlp
timmermans, h
childers, tl
carr, cl
peck, j
carson, s
kaufmann, pj
dant, rp
moreau, p
krishna, a
harlam, b
peterson, ra
balasubramanian, s
kozinets, rv
sherry, jf
deberry-spence, b
duhachek, a
nuttavuthisit, k
storm, d
menon, s
kahn, b
srinivasan, ss
anderson, r
ponnavolu, k
mathwick, c
malhotra, nk
rigdon, e
de mooij, m
hofstede, g
rhoads, gk
swinyard, wr
geurts, md
price, wd
garretson, ja
fisher, d
burton, s
krishna, a
briesch, r
lehmann, dr
yuan, h
vakratsas, d
bass, fm
bell, sj
menguc, b
thomas, jl
vitell, sj
gilbert, fw
rose, gm
blair, ea
harris, j
monroe, kb
heiman, a
mcwilliams, b
zhao, jh
zilberman, d
rhee, h
bell, dr
maxham, jg
netemeyer, rg
sethuraman, r
tellis, g
van dolen, w
lemmink, j
de ruyter, k
de jong, a
goldman, a
ramaswami, s
krider, re
gijsbrechts, e
campo, k
goossens, t
hardesty, dm
bearden, wo
binkley, jk
bejnarowicz, j
voss, gb
seiders, k
chandrashekaran, r
grewal, d
dant, rp
kaufmann, pj
arnold, mj
reynolds, ke
patterson, pg
smith, t
krishnamurthi, l
papatla, p
allaway, aw
berkowitz, d
d'souza, g
kukar-kinney, m
walters, rg
arnett, db
laverie, da
meiers, a
wolfinbarger, m
gilly, mc
wakefield, kl
inman, jj
bolton, rn
shankar, v
kopalle, pk
lindsey-mullikin, j
lusch, rf
o'brien, m
sindhav, b
grewal, d
baker, j
levy, m
voss, gb
grewal, d
levy, m
lehmann, dr
levy, m
grewal, d
kopalle, pk
hess, jd
vrechopoulos, ap
o' keefe, rm
doukidis, gi
siomkos, gj
gourville, jt
moon, y
finn, a
kayande, u
haytko, dl
baker, j
leszczyc, ptlp
sinha, a
sahgal, a
mangleburg, tf
doney, pm
bristol, t
srivastava, j
lurie, nh
estelami, h
de maeyer, p
harris, lc
goode, mmh
senecal, s
nantel, j
bradford, kd
stringfellow, a
weitz, ba
mattila, as
patterson, pg
zhao, h
cao, y
bhatnagar, a
ghose, s
menon, k
dube, l
evanschitzky, h
iyer, gr
hesse, j
ahlert, d
wallace, dw
giese, jl
johnson, jl
gomez, mi
mclaughlin, ew
wittink, dr
sayman, s
raju, js
noble, sm
phillips, j
sprott, de
shimp, ta
kumar, v
shah, d
ailawadi, kl
keller, kl
kumar, v
swaminathan, s
sloot, lm
verhoef, pc
franses, ph
darke, pr
chung, cmy
niedrich, rw
kiryanova, e
black, wc
gonzalez-benito, s
munoz-gallego, pa
kopalle, pk
hsieh, yc
chiu, hc
chiang, my
levy, m
grewal, d
peterson, ra
connolly, b
brown, jr
dant, rp
ingene, ca
kaufmann, pj
sethuraman, r
parasuraman, a
michael, sc
kim, sm
yadav, ms
varadarajan, pr
bettencourt, la
brown, sw
mackenzie, sb
morales, a
kahn, be
mcalister, l
broniarczyk, sm
wood, cm
alford, bl
jackson, rw
gilley, ow
horvath, pa
autry, cw
wilcox, we
swaminathan, s
bawa, k
brady, mk
knight, ga
cronin, jj
tomas, g
hult, m
keillor, bd
lam, sy
mukherjee, a
laroche, m
yang, zy
mcdougall, ghg
bergeron, j
yang, s
raghubir, p
dutta, s
biswas, a
taylor, ga
neslin, sa
suter, ta
hardesty, dm
magi, aw
julander, cr
moon, s
russell, gj
duvvuri, sd
griffith, da
noble, sm
chen, qm
ramaseshan, b
yip, lsc
pae, jh
choi, sc
coughlan, at
krishnan, bc
biswas, a
netemeyer, rg
mcwilliams, b
gerstner, e
jones, ma
reynolds, ke
keh, ht
lee, yh
lueg, je
ponder, n
beatty, se
capella, ml
gopal, rd
pathak, b
tripathi, ak
yin, f
patrick, vm
park, cw
noble, sm
griffith, da
adjei, mt
bailey, n
areni, cs
delvecchio, d
henard, dh
freling, th
breugelmans, e
campo, k
gijsbrechts, e
pan, y
zinkhan, gm
biswas, a
dutta, s
pullig, c
windsperger, j
dant, rp
brown, jr
dant, rp
kumar, v
shah, d
venkatesan, r
bridges, e
briesch, ra
yim, ck
arndt, a
arnold, tj
landry, td
pan, y
zinkhan, gm
reynolds, ke
folse, jag
jones, ma
chung, je
sternquist, b
chen, zy
desrochers, dm
nelson, p
van birgelen, m
de jong, a
de ruyter, k
bolton, rn
grewal, d
levy, m
lusch, rf
vargo, sl
o'brien, m
kleijnen, m
de ruyter, k
wetzels, m
tokman, m
davis, la
lemon, kn
schau, hj
dellande, s
gilly, mc
hess, rl
ganesan, s
klein, nm
verhoef, pc
langerak, f
donkers, b
morin, s
dube, l
chebat, jc
netemeyer, rg
maxham, jg
yim, ckb
chan, kw
hung, k
kamakura, wa
kang, w
kim, sh
choi, sc
draganska, m
klapper, d
hardesty, dm
bearden, wo
carlson, jp
kukar-kinney, m
walters, rg
mackenzie, sb
grohmann, b
spangenberg, er
sprott, de
levy, m
grewal, d
van dolen, willemijn m.
dabholkar, pratibha a.
de ruyter, ko
auh, seigyoung
bell, simon j.
mcleod, colin s.
shih, eric
grewal, dhruv
levy, michael
padgett, dan
mulvey, michael s.
weathers, danny
sharma, subhash
wood, stacy l.
roggeveen, anne l.
haradwaj, neeraj b.
hoyer, wayne d.
manning, kenneth c.
sprott, david e.
burman, bidisha
biswas, abhijit
barone, michael j.
norman, andrew t.
miyazaki, anthony d.
grewal, dhruv
levy, michael
brown, james r.
dant, rajiv p.
kumar, v.
george, morris
pancras, joseph
brooks, charles m.
kaufmann, patrick j.
lichtenstein, donald r.
buerkle, thomas
posselt, thorsten
naylor, gillian
kleiser, susan bardi
baker, julie
yorkston, eric
runyan, rodney c.
droge, cornelia
yuan, hong
krishna, aradhna
warden, clyde a.
huang, stephen chi-tsun
liu, tsung-chi
wu, wann-yih
brown, james r.
dant, rajiv p.
thakor, mrugank v.
suri, rajneesh
saleh, katayoun
brady, michael k.
cronin, j. joseph
fox, gavin l.
roehm, michelle l.
koukova, nevena t.
kannan, p. k.
ratchford, brian t.
mittal, vikas
huppertz, john w.
khare, adwait
lwin, may o.
stanaland, andrea j. s.
miyazaki, anthony d.
dellaert, benedict g. c.
arentze, theo a.
timmermans, harry j. p.
duan, wenjing
gu, bin
whinston, andrew b.
brown, steven p.
lam, son k.
gauri, dinesh kumar
trivedi, minakshi
grewal, dhruv
lei, jing
de ruyter, ko
wetzels, martin
sloot, laurens a.
verhoef, peter c.
chiou-wei, song-zan
inman, j. jeffrey
gremler, dwayne d.
gwinner, kevin p.
lee, chang hwan
rhee, byong-duk
hollenbeck, candice r.
peters, cara
zinkhan, george m.
vanhamme, joelle
de bont, cees j. p. m.
dant, rajiv p.
brown, james r.
konus, umut
verhoef, peter c.
neslin, scott a.
ofir, chezy
raghubir, priya
brosh, gili
monroe, kent b.
heiman, amir
grewal, dhruv
roggeveen, anne l.
tsiros, michael
davis, donna f.
mentzer, john t.
xu, yunjie (calvin)
kim, hee-woong
tuncay, linda
otnes, cele c.
grewal, dhruv
levy, michael
kumar, v.
puccinelli, nancy m.
goodstein, ronald c.
grewal, dhruv
price, robert
raghubir, priya
stewart, david
verhoef, peter c.
lemon, katherine n.
parasuraman, a.
roggeveen, anne
tsiros, michael
schlesinger, leonard a.
ailawadi, kusum l.
beauchamp, j. p.
donthu, naveen
gauri, dinesh k.
shankar, venkatesh
kopalle, praveen
biswas, dipayan
chintagunta, pradeep k.
fan, jia
pauwels, koen
ratchford, brian t.
sills, james a.
mantrala, murali k.
levy, michael
kahn, barbara e.
fox, edward j.
gaidarev, peter
dankworth, bill
shah, denish
ganesan, shankar
george, morris
jap, sandy
palmatier, robert w.
weitz, barton
petersen, j. andrew
mcalister, leigh
reibstein, david j.
winer, russell s.
kumar, v.
atkinson, geoff
brown, james r.
dant, rajiv p.
arnold, todd j.
palmatier, robert w.
grewal, dhruv
sharma, arun
aggarwal, praveen
vaidyanathan, rajiv
venkatesh, alladi
gupta, pranjal
yadav, manjit s.
varadarajan, rajan
pentina, iryna
pelton, lou e.
hasty, ronald w.
arnold, todd
flaherty, karen e.
voss, kevin e.
mowen, john c.
nair, suresh k.
tikoo, surinder
liu, shuguang
leszczyc, peter t. l. popkowski
qiu, chun
he, yongfu
mccoll-kennedy, janet r.
patterson, paul g.
smith, amy k.
brady, michael k.
hardesty, david m.
bearden, william o.
monga, ashwani
saini, ritesh
burton, scot
howlett, elizabeth
tangari, andrea heintz
ge, xin
messinger, paul r.
li, jin
boyd, d. eric
bahn, kenneth d.
kukar-kinney, monika
ridgway, nancy m.
monroe, kent b.
arnold, mark j.
reynolds, kristy e.
reynolds, kate l.
harris, lloyd c.
delvecchio, devon
lakshmanan, arun
krishnan, h. shanker
brumbaugh, anne m.
rosa, jose antonio
borghini, stefania
diamond, nina
kozinets, robert v.
mcgrath, mary ann
muniz, albert m.
sherry, john f.
kwon, wi-suk
lennon, sharron j.
demoulin, nathalie t. m.
zidda, pietro
chaudhuri, arjun
ligas, mark
brown, james r.
dant, rajiv p.
mcalister, leigh
george, edward i.
chien, yung-hsin
baldauf, artur
cravens, karen s.
diamantopoulos, adamantios
zeugner-roth, katharina petra
varman, rohit
costa, janeen arnold
babakus, emin
yavas, ugur
ashill, nicholas j.
adjei, mavis t.
griffith, david a.
noble, stephanie m.
brown, james r.
dant, rajiv p.
grewal, dhruv
levy, michael
dant, rajiv p.
brown, james r.
xia, lan
kukar-kinney, monika
monroe, kent b.
mathwick, charla
wagner, janet
unni, ramaprasad
baltas, george
argouslidis, paraskevas c.
skarmeas, dionysis
martin-herran, guiomar
sigue, simon-pierre
zaccour, georges
ding, min
ross, william t.
rao, vithala r.
lichtenstein, donald r.
netemeyer, richard g.
maxham, james g.
hansen, jared m.
raut, sumit
swami, sanjeev
ganesh, jaishankar
reynolds, kristy e.
luckett, michael
pomirleanu, nadia
murray, chase c.
talukdar, debabrata
gosavi, abhijit
gurnani, haresh
sharma, arun
grewal, dhruv
kumar, nanda
radhakrishnan, suresh
rao, ram c.
miller, christopher m.
smith, stephen a.
mcintyre, shelby h.
achabal, dale d.
hall, joseph m.
kopalle, praveen k.
krishna, aradhna
mitra, debanjan
fay, scott
hu, ye
wang, xin
hu, ye
wang, xin
gatignon, aline
gatignon, hubert
john, george
reve, torger
dahlstrom, robert
nygaard, arne
dahlstrom, robert
nygaard, arne
benedicktus, ray l.
brady, michael k.
darke, peter r.
voorhees, clay m.
talukdar, debabrata
gauri, dinesh k.
grewal, dhruv
thomas, rodney w.
esper, terry l.
stank, theodore p.
dant, rajiv p.
brown, james r.
folse, judith anne garretson
niedrich, ronald w.
grau, stacy landreth
seevers, matthew t.
skinner, steven j.
dahlstrom, robert
guiot, denis
roux, dominique
odekerken-schroder, gaby
hennig-thurau, thorsten
knaevelsrud, anne berit
syam, siddhartha
bhatnagar, amit
wang, yong jian
minor, michael s.
wei, jie
khare, adwait
labrecque, lauren i.
asare, anthony k.
coelho, filipe
augusto, mario
lages, luis filipe
pauwels, keen
leeflang, peter s. h.
teerling, marije l.
huizingh, k. r. eelko
spralls, samuel a.
hunt, shelby d.
wilcox, james b.
breugelmans, els
campo, katia
wu, ruhai
basuroy, suman
beldona, srinath
parker, jeffrey r.
lehmann, donald r.
bambauer-sachse, silke
grewal, dhruv
ho, hillbun (dixon)
ganesan, shankar
oppewal, harmen
carlos gazquez-abad, juan
de canniere, marie helene
martinez-lopez, francisco j.
yuan, hong
krishna, aradhna
lin, jiun-sheng chris
hsieh, pei-ling
arndt, aaron d.
karande, kiran
landry, timothy d.
shih, eric
schau, hope jensen
dekimpe, marnik g.
gielens, katrijn
raju, jagmohan
thomas, jacquelyn s.
grewal, dhruv
ailawadi, kusum l.
gauri, dinesh
hall, kevin
kopalle, praveen
robertson, jane r.
reinartz, werner
dellaert, benedict
krafft, manfred
kumar, v.
varadarajan, rajan
shankar, venkatesh
yadav, manjit s.
shankar, venkatesh
inman, j. jeffrey
mantrala, murali
kelley, eileen
rizley, ross
sorescu, alina
frambach, ruud t.
singh, jagdip
rangaswamy, arvind
bridges, cheryl
blut, markus
backhaus, christof
heussler, tobias
woisetschlaeger, david m.
evanschitzky, heiner
ahlert, dieter
mellewigt, thomas
ehrmann, thomas
decker, carolin
hendrikse, george
jiang, tao
aliouche, e. hachemi
schlentrich, udo a.
dant, rajiv p.
gruenhagen, marko
windsperger, josef
chabowski, brian r.
hult, g. tomas m.
mena, jeannette a.
lawrence, benjamin
kaufmann, patrick j.
grace, debra
weaven, scott
de jong, abe
jiang, tao
verwijmeren, patrick
madanoglu, melih
lee, kyuho
castrogiovanni, gary j.
brown, james r.
dant, rajiv p.
haans, hans
gijsbrechts, els
khouja, moutaz
pan, jingming
ratchford, brian t.
zhou, jing
suwelack, thomas
hogreve, jens
hoyer, wayne d.
dion, delphine
arnould, eric
kim, stephen k.
hibbard, jonathan d.
swain, scott d.
palmeira, mauricio m.
thomas, dominic
cai, gangshu (george)
chen, ying-ju
van everdingen, yvonne m.
sloot, laurens m.
van nierop, erjen
verhoef, peter c.
pan, yue
zhang, jason q.
kopalle, praveen k.
kannan, p. k.
boldt, lin bao
arora, neeraj
grewal, dhruv
roggeveen, anne l.
compeau, larry d.
levy, michael
pillai, kishore gopalakrishna
kumar, v.
murthi, b. p. s.
rao, ram c.
ma, yu
seetharaman, p. b.
narasimhan, chakravarthi
kukar-kinney, monika
ridgway, nancy m.
monroe, kent b.
zhang, qin
seetharaman, p. b.
narasimhan, chakravarthi
spann, martin
haeubl, gerald
skiera, bernd
bernhardt, martin
ashworth, laurence
mcshane, lindsay
suri, rajneesh
cai, jane zhen
monroe, kent b.
thakor, mrugank v.
joo, mingyu
mazumdar, tridib
raj, s. p.
raghubir, priya
morwitz, vicki g.
santana, shelle
theotokis, aristeidis
pramatari, katerina
tsiros, michael
assaf, a. george
josiassen, alexander
ratchford, brian t.
barros, carlos pestana
white, allyn
breazeale, michael
collier, joel e.
chiu, hung-chang
hsieh, yi-ching
kuo, yi-chu
rose, susan
clark, moira
samouel, phillip
hair, neil
richards, timothy j.
gomez, miguel i.
pofahl, geoffrey
breugelmans, els
kohler, clemens f.
dellaert, benedict g. c.
de ruyter, ko
gonzalez-benito, oscar
martos-partal, mercedes
li, han
dinlersoz, emin
dobscha, susan
foxman, ellen
brocato, e. deanne
voorhees, clay m.
baker, julie
arnold, mark j.
reynolds, kristy e.
orth, ulrich r.
malkewitz, keven
allender, william j.
richards, timothy j.
evanschitzky, heiner
v wangenheim, florian
wuenderlich, nancy v.
otnes, cele c.
ilhan, behice ece
kukarni, atul
hofer, christian
jin, henry
swanson, r. david
waller, matthew a.
williams, brent d.
grewal, dhruv
kopalle, praveen
marmorstein, howard
roggeveen, anne l.
ingene, charles a.
taboubi, sihem
zaccour, georges
mackenzie, scott b.
podsakoff, philip m.
tuli, kapil r.
mukherjee, anirban
dekimpe, marnik g.
netemeyer, richard g.
heilman, carrie m.
maxham, james g.
carver, james r.
padgett, daniel t.
choi, pilsik
coulter, keith s.
kim, junyong
wansink, brian
viswanathan, madhubalan
kayande, ujwal
baumgartner, hans
weijters, bert
zhu, zhen
nakatabl, cheryl
sivakumar, k.
grewal, dhruv
herrmann, andreas
zidansek, manja
sprott, david e.
spangenberg, eric r.
gleim, mark r.
smith, jeffery s.
andrews, demetra
cronin, j. joseph
surachartkumtonkun, jiraporn
patterson, paul g.
mccoll-kennedy, janet r.
keeling, kathleen a.
mcgoldrick, peter j.
sadhu, henna
krishnan, balaji c.
dutta, sujay
jhac, subhash
puccinelli, nancy m.
chandrashekaran, rajesh
grewal, dhruv
suri, rajneesh
srinivasan, raji
sridhar, shrihari
narayanan, sriram
sihi, debika
pancras, joseph
gauri, dinesh k.
talukdar, debabrata
bradford, tonya williams
sherry, john f.
coker, brent
nagpal, anish
boichuk, jeffrey p.
menguc, bulent
grace, debra
weaven, scott
frazer, lorelle
giddings, jeff
kumar, v.
dalla pozza, ilaria
ganesh, jaishankar
gretz, richard t.
basuroy, suman
mark, tanya
lemon, katherine n.
vandenbosch, mark
bulla, jan
maruotti, antonello
lewis, michael
whitler, kimberly a.
hoegg, joandrea
orth, ulrich r.
bouzdine-chameeva, tatiana
brand, kathrin
joireman, jeff
gregoire, yany
devezer, berna
tripp, thomas m.
wang, jeff jianfeng
zhao, xin
li, julie juan
pizzi, gabriele
scarpi, daniele
george, morris
kumar, v.
grewal, dhruv
dolbec, pierre-yann
chebat, jean-charles
johnson, joseph
tellis, gerard j.
ip, edward h.
spassova, gerri
isen, alice m.
echambadi, raj
jindal, rupinder p.
blair, edward a.
girju, marina
prasad, ashutosh
ratchford, brian t.
moeller, jana
herrn, steffen
swoboda, bernhard
berg, bettina
schramm-klein, hanna
roggeveen, anne l.
goodstein, ronald c.
grewal, dhruv
su, meng
zheng, xiaona
sun, luping
tang, chuanyi
liu, yongmei
oh, hyunjoo
weitz, barton
ashley, christy
noble, stephanie m.
hutter, katharina
hoffmann, stefan
schumann, jan h.
wuenderlich, nancy v.
evanschitzky, heiner
cakir, metin
balagtas, joseph v.
newman, christopher l.
howlett, elizabeth
burton, scot
floyd, kristopher
ling, ryan fre
alhogail, saad
cho, hyun young
freling, traci
kamakura, wagner
kopalle, praveen k.
lehmann, donald r.
wilbur, kenneth c.
farris, paul w.
neumann, nico
boeckenholt, ulf
grewal, dhruv
roggeveen, anne l.
lindsey-mullikin, joan
abou nabout, nadia
lilienthal, markus
skiera, bernd
maity, moutusy
dass, mayukh
malhotra, naresh k.
blut, markus
beatty, sharon e.
evanschitzky, heiner
brock, christian
hardesty, david m.
goodstein, ronald c.
grewal, dhruv
miyazaki, anthony d.
kopalle, praveen
ter braak, anne
geyskens, inge
dekimpe, marnik g.
sethuraman, raj
gielens, katrijn
tully, stephanie m.
winer, russell s.
joy, annamma
wang, jeff jianfeng
chan, tsang-sing
sherry, john f.
cui, geng
singh, sonika
ratchford, brian t.
prasad, ashutosh
massara, francesco
porcheddu, daniele
melara, robert d.
cowart, kelly o.
brady, michael k.
kurtulus, muemin
uelkue, sezer
dotson, jeffrey p.
nakkas, alper
dost, florian
wilken, robert
eisenbeiss, maik
skiera, bernd
nagengast, liane
evanschitzky, heiner
blut, markus
rudolph, thomas
haas, alexander
kenning, peter
jensen, birger boutrup
grunert, klaus g.
zhang, xubing
cao, yong
frank, bjoern
torrico, boris herbas
enkawa, takao
schvaneveldt, shane j.
gerrnann, frank
lilien, gary l.
fiedler, lars
kraus, matthias
dass, mayukh
reddy, srinivas k.
iacobucci, dawn
wirtz, jochen
xiao, ping
chiang, jeongwen
malhotra, naresh
yao, qing
chen, rong
desai, kalpesh kaushik
gauri, dinesh kumar
ma, yu
lurie, nicholas h.
wen, na
orth, ulrich r.
crouch, roberta c.
jin, liyin
hu, bingyan
he, yanqun
aguirre, elizabeth
mahr, dominik
grewal, dhruv
de ruyter, ko
wetzels, martin
karpen, ingo o.
bove, liliana l.
lukas, bryan a.
zyphur, michael j.
cambra-fierro, jesus
melero, iguacel
sese, f. javier
bolton, lisa e.
mattila, anna s.
diehl, kristin
van herpen, erica
lamberton, cait
cao, qingning
geng, xianjun
zhang, jun
nejad, mohammad g.
amini, mehdi
babakus, emin
bodur, h. onur
klein, noreen m.
arora, neeraj
moon, sangkil
song, reo
kwak, kyuseop
duvvuri, sri devi
russell, gary j.
verhoef, peter c.
kannan, p. k.
inman, j. jeffrey
pauwels, koen
neslin, scott a.
cao, lanlan
li, li
wang, rebecca jen-hui
malthouse, edward c.
krishnamurthi, lakshman
bilgicer, tolga
jedidi, kamel
lehmann, donald r.
neslin, scott a.
herhausen, dennis
binder, jochen
schoegel, marcus
herrmann, andreas
emrich, oliver
paul, michael
rudolph, thomas
rapp, adam
baker, thomas l.
bachrach, daniel g.
ogilvie, jessica
beitelspacher, lauren skinner
brown, steven p.
mantrala, murali k.
li, jing
konus, umut
pauwels, koen
langerak, fred
baxendale, shane
macdonald, emma k.
wilson, hugh n.
gong, jing
smith, michael d.
telang, rahul
melis, kristina
campo, katia
breugelmans, els
lamey, lien
adam, marc t. p.
kraemer, jan
mueller, marius b.
brown, james r.
ingene, charles a.
bleier, alexander
eisenbeiss, maik
tangari, andrea heintz
burton, scot
smith, ronn j.
fay, scott
xie, jinhong
feng, cong
kraus, florian
haumann, till
ahearne, michael
wieseke, jan
hunneman, auke
verhoef, peter c.
sloot, laurens m.
wang, feng
liu, xuefeng
fang, eric (er)
nagpal, anish
lei, jing
khare, adwait
van doorn, jenny
verhoef, peter c.
berry, christopher
mukherjee, amaradri
burton, scot
howlett, elizabeth
watson, george f.
worm, stefan
palmatier, robert w.
ganesan, shankar
krafft, manfred
goetz, oliver
mantrala, murali
sotgiu, francesca
tillmanns, sebastian
kumar, v.
sunder, sarang
sharma, amalesh
kozlenkova, irina v.
hult, g. tomas m.
lund, donald j.
mena, jeannette a.
kekec, pinar
hoppner, jessica j.
griffith, david a.
venkatesan, rajkumar
farris, paul
guissoni, leandro a.
neves, marcos fava
pelser, jan
de ruyter, ko
wetzels, martin
grewal, dhruv
cox, david
van beuningen, jacqueline
blut, markus
chowdhry, nivriti
mittal, vikas
brock, christian
roggeveen, anne l.
nordfalt, jens
grewal, dhruv
davis, derick f.
bagchi, rajesh
block, lauren g.
huang, yunhui
zhang, y. charles
gelper, sarah
wilms, ines
croux, christophe
alavi, sascha
wieseke, jan
guba, jan h.
hagtvedt, henrik
patrick, vanessa m.
north, adrian c.
sheridan, lorraine p.
areni, charles s.
haruvy, ernan
leszczyc, peter t. l. popkowski
yao, jun
oppewal, harmen
trivedi, minakshi
sridhar, karthik
kumar, ashish
anderl, eva
schumann, jan hendrik
kunz, werner
meyer, jeffrey
shankar, venkatesh
allen, b. j.
dholakia, utpal m.
basuroy, suman
de bellis, emanuel
sprott, david e.
herrmann, andreas
bierhoff, hans-werner
rohmann, elke
bodur, h. onur
tofighi, maryam
grohmann, bianca
seenivasan, satheesh
talukdar, debabrata
janakiraman, narayan
syrdal, holly a.
freling, ryan
osuna, ignacio
gonzalez, jorge
capizzani, mario
zenetti, german
klapper, daniel
minnema, alec
bijmolt, tammo h. a.
gensler, sonja
wiesel, thorsten
darke, peter r.
brady, michael k.
benedicktus, ray l.
wilson, andrew e.
melis, kristina
campo, katia
lamey, lien
breugelmans, els
vroegrijk, mark
gijsbrechts, els
campo, katia
breugelmans, els
campo, katia
zhao, kexin
zhao, xia
deng, jing
gilbride, timothy j.
currim, imran s.
mintz, ofer
siddarth, s.
wu, laurie
lee, christopher
obeng, efua
luchs, ryan
inman, j. jeffrey
hulland, john
hietanen, joel
mattila, pekka
schouten, john w.
sihvonen, antti
toyoki, sammy
mai, robert
symmank, claudia
seeberg-elverfeldt, berenike
yonezawa, koichi
richards, timothy j.
grewal, dhruv
roggeveen, anne l.
nordfalt, jens
inman, j. jeffrey
nikolova, hristina
krishna, aradhna
cian, luca
aydinoglu, nilufer z.
grewal, dhruv
roggeveen, anne l.
sisodia, rajendra
nordfalt, jens
ailawadi, kusum l.
farris, paul w.
bradlow, eric t.
gangwar, manish
kopalle, praveen
voleti, sudhir
kumar, v.
anand, ankit
song, hyunseok
gruenhagen, marko
zheng, xu (vivian)
wang, jeff jianfeng
chen, bintong
chen, jing
yang, xiaodong
cai, gangshu (george)
chen, ying-ju
yang, shu-jung sunny
atalay, a. selin
bodur, h. onur
bressoud, etienne
mukherjee, amaradri
jha, subhash
smith, ronn j.
roschk, holger
correia loureiro, sandra maria
breitsohl, jan
patel, pankaj c.
guedes, maria joao
pearce, john a.
mathmann, frank
chylinski, mathew
de ruyter, ko
higgins, e. tory
reynolds-mcilnay, ryann
morrin, maureen
nordfalt, jens
gauri, dinesh k.
ratchford, brian
pancras, joseph
talukdar, debabrata
kim, stephen k.
tiwana, amrit
fadairo, muriel
yu, jianyu
lanchimba, cintya
esmark, carol l.
noble, stephanie m.
breazeale, michael j.
hsu, liwu
kaufmann, patrick
srinivasan, shuba
liu, wumei
batra, rajeev
wang, haizhogn
harutyunyan, mushegh
jiang, baojun
claro, danny p.
kamakura, wagner a.
yang, zhao
algesheimer, rene
dholakia, utpal
ferraro, carla r.
danaher, tracey s.
danaher, peter j.
sands, sean j.
wolter, jeremy s.
bock, dora
smith, jeffery s.
cronin, j. joseph
zhang, qin
gangwar, manish
seethararnan, p. b.
chandukala, sandeep r.
dotson, jeffrey p.
liu, qing
cohen-vernik, dinah
pazgal, amit
chung, hwan
lee, eunkyu
knoeferle, klemens m.
paus, vilhelm camillus
vossen, alexander
brown, steve
mantrala, murali
roggeveen, anne l.
sethuraman, raj
foubert, bram
breugelmans, els
gedenk, karen
rolef, charlotte
he, yongfu
oppewal, harmen
brown, stephen
stevens, lorna
maclaran, pauline
mead, james a.
hardesty, david m.
berry, christopher
burton, scot
howlett, elizabeth
zlatevska, natalina
neumann, nico
dubelaar, chris
chung, hwan
lee, eunkyu
ye, fei
zhang, li
li, yina
zhuang, hejun
leszczyc, peter t. l. popkowski
lin, yuanfang
jones, carol l. esmark
barney, christian
farmer, adam
das, gopal
mukherjee, amaradri
smith, ronn j.
dahm, martin
wentzel, daniel
herzog, walter
wiecek, annika
roggeveen, anne l.
sethuraman, raj
blut, markus
teller, christoph
floh, arne
kim, jungkeun
spence, mark t.
marshall, roger
patel, pankaj c.
kim, kyoung yong
devaraj, srikant
li, mingxiang
kalaignanam, kartik
kushwaha, tarun
rajavi, koushyar
lutz, richard
levy, michael
roggeveen, anne l.
sethuraman, raj
lee, ju-yeon
fang (er), eric
kim, jisu j.
